"Year","Month","SKU","Category","Units","GrossSales"
"2019","4",1198427,"Canned Goods","57.00","113.43"
"2019","4",1198427,"Canned Goods","57.00","113.43"
"2019","5",1198427,"Canned Goods","56.00","111.44"
"2019","5",1198427,"Canned Goods","56.00","111.44"
"2018","11",1220432,"Refrigerated","525.00","5775.00"
"2018","12",1220432,"Refrigerated","525.00","5775.00"
"2018","12",1220432,"Refrigerated","525.00","5775.00"
"2019","1",1220432,"Refrigerated","525.00","5775.00"
"2019","1",1220432,"Refrigerated","525.00","5775.00"
"2019","2",1220432,"Refrigerated","536.00","5896.00"
"2019","2",1220432,"Refrigerated","536.00","5896.00"
"2019","3",1220432,"Refrigerated","541.00","5951.00"
"2019","3",1220432,"Refrigerated","541.00","5951.00"
"2019","4",1220432,"Refrigerated","530.00","5830.00"
"2019","4",1220432,"Refrigerated","530.00","5830.00"
"2019","5",1220432,"Refrigerated","583.00","6413.00"
"2019","5",1220432,"Refrigerated","583.00","6413.00"
"2018","11",1252891,"International","991.00","2963.09"
"2018","12",1252891,"International","1001.00","2992.99"
"2018","12",1252891,"International","1001.00","2992.99"
"2019","1",1252891,"International","1051.00","3142.49"
"2019","1",1252891,"International","1051.00","3142.49"
"2019","2",1252891,"International","1062.00","3175.38"
"2019","2",1252891,"International","1062.00","3175.38"
"2019","3",1252891,"International","1041.00","3112.59"
"2019","3",1252891,"International","1041.00","3112.59"
"2019","4",1252891,"International","1010.00","3019.90"
"2019","4",1252891,"International","1010.00","3019.90"
"2019","5",1252891,"International","1000.00","2990.00"
"2019","5",1252891,"International","1000.00","2990.00"
"2018","11",1259760,"Produce","550.00","10175.00"
"2018","12",1259760,"Produce","561.00","10378.50"
"2018","12",1259760,"Produce","561.00","10378.50"
"2019","1",1259760,"Produce","544.00","10064.00"
"2019","1",1259760,"Produce","544.00","10064.00"
"2019","2",1259760,"Produce","566.00","10471.00"
"2019","2",1259760,"Produce","566.00","10471.00"
"2019","3",1259760,"Produce","555.00","10267.50"
"2019","3",1259760,"Produce","555.00","10267.50"
"2019","4",1259760,"Produce","572.00","10582.00"
"2019","4",1259760,"Produce","572.00","10582.00"
"2019","5",1259760,"Produce","549.00","10156.50"
"2019","5",1259760,"Produce","549.00","10156.50"
"2018","11",1266828,"Canned Goods","331.00","248.25"
"2018","12",1266828,"Canned Goods","344.00","258.00"
"2018","12",1266828,"Canned Goods","344.00","258.00"
"2019","1",1266828,"Canned Goods","358.00","268.50"
"2019","1",1266828,"Canned Goods","358.00","268.50"
"2019","2",1266828,"Canned Goods","354.00","265.50"
"2019","2",1266828,"Canned Goods","354.00","265.50"
"2019","3",1266828,"Canned Goods","368.00","276.00"
"2019","3",1266828,"Canned Goods","368.00","276.00"
"2019","4",1266828,"Canned Goods","383.00","287.25"
"2019","4",1266828,"Canned Goods","383.00","287.25"
"2019","5",1266828,"Canned Goods","421.00","315.75"
"2019","5",1266828,"Canned Goods","421.00","315.75"
"2018","11",1301634,"Produce","18.00","71.82"
"2018","12",1301634,"Produce","18.00","71.82"
"2018","12",1301634,"Produce","18.00","71.82"
"2019","1",1301634,"Produce","18.00","71.82"
"2019","1",1301634,"Produce","18.00","71.82"
"2019","2",1301634,"Produce","17.00","67.83"
"2019","2",1301634,"Produce","17.00","67.83"
"2019","3",1301634,"Produce","18.00","71.82"
"2019","3",1301634,"Produce","18.00","71.82"
"2019","4",1301634,"Produce","17.00","67.83"
"2019","4",1301634,"Produce","17.00","67.83"
"2019","5",1301634,"Produce","18.00","71.82"
"2019","5",1301634,"Produce","18.00","71.82"
"2018","11",1339176,"Produce","683.00","10921.17"
"2018","12",1339176,"Produce","676.00","10809.24"
"2018","12",1339176,"Produce","676.00","10809.24"
"2019","1",1339176,"Produce","683.00","10921.17"
"2019","1",1339176,"Produce","683.00","10921.17"
"2019","2",1339176,"Produce","669.00","10697.31"
"2019","2",1339176,"Produce","669.00","10697.31"
"2019","3",1339176,"Produce","696.00","11129.04"
"2019","3",1339176,"Produce","696.00","11129.04"
"2019","4",1339176,"Produce","682.00","10905.18"
"2019","4",1339176,"Produce","682.00","10905.18"
"2019","5",1339176,"Produce","689.00","11017.11"
"2019","5",1339176,"Produce","689.00","11017.11"
"2018","11",1354909,"Produce","399.00","7980.00"
"2018","12",1354909,"Produce","403.00","8060.00"
"2018","12",1354909,"Produce","403.00","8060.00"
"2019","1",1354909,"Produce","415.00","8300.00"
"2019","1",1354909,"Produce","415.00","8300.00"
"2019","2",1354909,"Produce","415.00","8300.00"
"2019","2",1354909,"Produce","415.00","8300.00"
"2019","3",1354909,"Produce","415.00","8300.00"
"2019","3",1354909,"Produce","415.00","8300.00"
"2019","4",1354909,"Produce","415.00","8300.00"
"2019","4",1354909,"Produce","415.00","8300.00"
"2019","5",1354909,"Produce","436.00","8720.00"
"2019","5",1354909,"Produce","436.00","8720.00"
"2018","11",1371397,"Refrigerated","606.00","4545.00"
"2018","12",1371397,"Refrigerated","606.00","4545.00"
"2018","12",1371397,"Refrigerated","606.00","4545.00"
"2019","1",1371397,"Refrigerated","600.00","4500.00"
"2019","1",1371397,"Refrigerated","600.00","4500.00"
"2019","2",1371397,"Refrigerated","624.00","4680.00"
"2019","2",1371397,"Refrigerated","624.00","4680.00"
"2019","3",1371397,"Refrigerated","636.00","4770.00"
"2019","3",1371397,"Refrigerated","636.00","4770.00"
"2019","4",1371397,"Refrigerated","623.00","4672.50"
"2019","4",1371397,"Refrigerated","623.00","4672.50"
"2019","5",1371397,"Refrigerated","611.00","4582.50"
"2019","5",1371397,"Refrigerated","611.00","4582.50"
"2018","12",1393300,"Produce","440.00","5715.60"
"2019","1",1393300,"Produce","444.00","5767.56"
"2019","2",1393300,"Produce","435.00","5650.65"
"2019","3",1393300,"Produce","452.00","5871.48"
"2019","4",1393300,"Produce","438.00","5689.62"
"2019","5",1393300,"Produce","425.00","5520.75"
"2018","11",1402988,"Freezer","68.00","544.00"
"2018","12",1402988,"Freezer","67.00","536.00"
"2019","1",1402988,"Freezer","70.00","560.00"
"2019","2",1402988,"Freezer","70.00","560.00"
"2019","3",1402988,"Freezer","69.00","552.00"
"2019","4",1402988,"Freezer","70.00","560.00"
"2019","5",1402988,"Freezer","73.00","584.00"
"2018","12",1405230,"Baby","304.00","4180.00"
"2019","1",1405230,"Baby","295.00","4056.25"
"2019","2",1405230,"Baby","298.00","4097.50"
"2019","3",1405230,"Baby","292.00","4015.00"
"2019","4",1405230,"Baby","295.00","4056.25"
"2019","5",1405230,"Baby","316.00","4345.00"
"2018","11",1443005,"Freezer","832.00","3286.40"
"2018","12",1443005,"Freezer","832.00","3286.40"
"2019","1",1443005,"Freezer","832.00","3286.40"
"2019","2",1443005,"Freezer","857.00","3385.15"
"2019","3",1443005,"Freezer","883.00","3487.85"
"2019","4",1443005,"Freezer","865.00","3416.75"
"2019","5",1443005,"Freezer","865.00","3416.75"
"2018","12",1445238,"Produce","273.00","4354.35"
"2019","1",1445238,"Produce","270.00","4306.50"
"2019","2",1445238,"Produce","270.00","4306.50"
"2019","3",1445238,"Produce","270.00","4306.50"
"2019","4",1445238,"Produce","275.00","4386.25"
"2019","5",1445238,"Produce","300.00","4785.00"
"2018","11",1461287,"Freezer","424.00","7610.80"
"2018","12",1461287,"Freezer","424.00","7610.80"
"2019","1",1461287,"Freezer","428.00","7682.60"
"2019","2",1461287,"Freezer","437.00","7844.15"
"2019","3",1461287,"Freezer","424.00","7610.80"
"2019","4",1461287,"Freezer","445.00","7987.75"
"2019","5",1461287,"Freezer","490.00","8795.50"
"2018","12",1462685,"International","871.00","9572.29"
"2019","1",1462685,"International","906.00","9956.94"
"2019","2",1462685,"International","933.00","10253.67"
"2019","3",1462685,"International","924.00","10154.76"
"2019","4",1462685,"International","961.00","10561.39"
"2019","5",1462685,"International","1009.00","11088.91"
"2018","11",1464420,"Produce","14.00","164.50"
"2018","12",1464420,"Produce","14.00","164.50"
"2019","1",1464420,"Produce","14.00","164.50"
"2019","2",1464420,"Produce","15.00","176.25"
"2019","3",1464420,"Produce","15.00","176.25"
"2019","4",1464420,"Produce","15.00","176.25"
"2019","5",1464420,"Produce","15.00","176.25"
"2018","12",1487498,"Produce","490.00","8325.10"
"2019","1",1487498,"Produce","505.00","8579.95"
"2019","2",1487498,"Produce","510.00","8664.90"
"2019","3",1487498,"Produce","525.00","8919.75"
"2019","4",1487498,"Produce","546.00","9276.54"
"2019","5",1487498,"Produce","519.00","8817.81"
"2018","11",1493993,"Produce","134.00","1070.66"
"2018","12",1493993,"Produce","138.00","1102.62"
"2019","1",1493993,"Produce","144.00","1150.56"
"2019","2",1493993,"Produce","151.00","1206.49"
"2019","3",1493993,"Produce","157.00","1254.43"
"2019","4",1493993,"Produce","157.00","1254.43"
"2019","5",1493993,"Produce","162.00","1294.38"
"2018","12",1495122,"Baby","508.00","2006.60"
"2019","1",1495122,"Baby","508.00","2006.60"
"2019","2",1495122,"Baby","518.00","2046.10"
"2019","3",1495122,"Baby","539.00","2129.05"
"2019","4",1495122,"Baby","550.00","2172.50"
"2019","5",1495122,"Baby","567.00","2239.65"
"2018","11",1534029,"Produce","318.00","6038.82"
"2018","12",1534029,"Produce","334.00","6342.66"
"2019","1",1534029,"Produce","327.00","6209.73"
"2019","2",1534029,"Produce","343.00","6513.57"
"2019","3",1534029,"Produce","353.00","6703.47"
"2019","4",1534029,"Produce","349.00","6627.51"
"2019","5",1534029,"Produce","373.00","7083.27"
"2018","12",1546680,"Refrigerated","297.00","1185.03"
"2019","1",1546680,"Refrigerated","294.00","1173.06"
"2019","2",1546680,"Refrigerated","303.00","1208.97"
"2019","3",1546680,"Refrigerated","303.00","1208.97"
"2019","4",1546680,"Refrigerated","294.00","1173.06"
"2019","5",1546680,"Refrigerated","315.00","1256.85"
"2018","11",1546910,"Dairy","445.00","7453.75"
"2018","12",1546910,"Dairy","467.00","7822.25"
"2019","1",1546910,"Dairy","462.00","7738.50"
"2019","2",1546910,"Dairy","480.00","8040.00"
"2019","3",1546910,"Dairy","490.00","8207.50"
"2019","4",1546910,"Dairy","475.00","7956.25"
"2019","5",1546910,"Dairy","518.00","8676.50"
"2018","12",1557712,"International","197.00","394.00"
"2019","1",1557712,"International","197.00","394.00"
"2019","2",1557712,"International","191.00","382.00"
"2019","3",1557712,"International","191.00","382.00"
"2019","4",1557712,"International","197.00","394.00"
"2019","5",1557712,"International","187.00","374.00"
"2018","11",1580194,"Produce","999.00","11988.00"
"2018","12",1580194,"Produce","1039.00","12468.00"
"2019","1",1580194,"Produce","1070.00","12840.00"
"2019","2",1580194,"Produce","1049.00","12588.00"
"2019","3",1580194,"Produce","1059.00","12708.00"
"2019","4",1580194,"Produce","1048.00","12576.00"
"2019","5",1580194,"Produce","1121.00","13452.00"
"2018","12",1585547,"Snacks","502.00","476.90"
"2019","1",1585547,"Snacks","522.00","495.90"
"2019","2",1585547,"Snacks","512.00","486.40"
"2019","3",1585547,"Snacks","507.00","481.65"
"2019","4",1585547,"Snacks","497.00","472.15"
"2019","5",1585547,"Snacks","517.00","491.15"
"2018","11",1597890,"Baby","163.00","976.37"
"2018","12",1597890,"Baby","168.00","1006.32"
"2019","1",1597890,"Baby","166.00","994.34"
"2019","2",1597890,"Baby","166.00","994.34"
"2019","3",1597890,"Baby","169.00","1012.31"
"2019","4",1597890,"Baby","174.00","1042.26"
"2019","5",1597890,"Baby","183.00","1096.17"
"2018","12",1602752,"Canned Goods","656.00","3929.44"
"2019","1",1602752,"Canned Goods","682.00","4085.18"
"2019","2",1602752,"Canned Goods","668.00","4001.32"
"2019","3",1602752,"Canned Goods","695.00","4163.05"
"2019","4",1602752,"Canned Goods","695.00","4163.05"
"2019","5",1602752,"Canned Goods","695.00","4163.05"
"2018","11",1620182,"Produce","200.00","3790.00"
"2018","12",1620182,"Produce","196.00","3714.20"
"2019","1",1620182,"Produce","194.00","3676.30"
"2019","2",1620182,"Produce","194.00","3676.30"
"2019","3",1620182,"Produce","192.00","3638.40"
"2019","4",1620182,"Produce","188.00","3562.60"
"2019","5",1620182,"Produce","184.00","3486.80"
"2018","12",1625156,"Refrigerated","1013.00","14688.50"
"2019","1",1625156,"Refrigerated","1043.00","15123.50"
"2019","2",1625156,"Refrigerated","1043.00","15123.50"
"2019","3",1625156,"Refrigerated","1033.00","14978.50"
"2019","4",1625156,"Refrigerated","1002.00","14529.00"
"2019","5",1625156,"Refrigerated","982.00","14239.00"
"2018","11",1632993,"Refrigerated","121.00","1452.00"
"2018","12",1632993,"Refrigerated","119.00","1428.00"
"2019","1",1632993,"Refrigerated","118.00","1416.00"
"2019","2",1632993,"Refrigerated","118.00","1416.00"
"2019","3",1632993,"Refrigerated","114.00","1368.00"
"2019","4",1632993,"Refrigerated","115.00","1380.00"
"2019","5",1632993,"Refrigerated","120.00","1440.00"
"2018","12",1633759,"Produce","18.00","359.82"
"2019","1",1633759,"Produce","18.00","359.82"
"2019","2",1633759,"Produce","18.00","359.82"
"2019","3",1633759,"Produce","17.00","339.83"
"2019","4",1633759,"Produce","18.00","359.82"
"2019","5",1633759,"Produce","20.00","399.80"
"2018","11",1639784,"Produce","803.00","16051.97"
"2018","12",1639784,"Produce","835.00","16691.65"
"2019","1",1639784,"Produce","860.00","17191.40"
"2019","2",1639784,"Produce","860.00","17191.40"
"2019","3",1639784,"Produce","877.00","17531.23"
"2019","4",1639784,"Produce","886.00","17711.14"
"2019","5",1639784,"Produce","877.00","17531.23"
"2018","11",1642573,"International","659.00","9193.05"
"2018","12",1642573,"International","652.00","9095.40"
"2018","12",1642573,"International","652.00","9095.40"
"2019","1",1642573,"International","665.00","9276.75"
"2019","1",1642573,"International","665.00","9276.75"
"2019","2",1642573,"International","645.00","8997.75"
"2019","2",1642573,"International","645.00","8997.75"
"2019","3",1642573,"International","651.00","9081.45"
"2019","3",1642573,"International","651.00","9081.45"
"2019","4",1642573,"International","684.00","9541.80"
"2019","4",1642573,"International","684.00","9541.80"
"2019","5",1642573,"International","698.00","9737.10"
"2019","5",1642573,"International","698.00","9737.10"
"2018","11",1662442,"International","711.00","11368.89"
"2018","12",1662442,"International","718.00","11480.82"
"2018","12",1662442,"International","718.00","11480.82"
"2019","1",1662442,"International","711.00","11368.89"
"2019","1",1662442,"International","711.00","11368.89"
"2019","2",1662442,"International","747.00","11944.53"
"2019","2",1662442,"International","747.00","11944.53"
"2019","3",1662442,"International","732.00","11704.68"
"2019","3",1662442,"International","732.00","11704.68"
"2019","4",1662442,"International","754.00","12056.46"
"2019","4",1662442,"International","754.00","12056.46"
"2019","5",1662442,"International","777.00","12424.23"
"2019","5",1662442,"International","777.00","12424.23"
"2018","11",1678247,"Produce","809.00","12903.55"
"2018","12",1678247,"Produce","833.00","13286.35"
"2018","12",1678247,"Produce","833.00","13286.35"
"2019","1",1678247,"Produce","808.00","12887.60"
"2019","1",1678247,"Produce","808.00","12887.60"
"2019","2",1678247,"Produce","792.00","12632.40"
"2019","2",1678247,"Produce","792.00","12632.40"
"2019","3",1678247,"Produce","816.00","13015.20"
"2019","3",1678247,"Produce","816.00","13015.20"
"2019","4",1678247,"Produce","857.00","13669.15"
"2019","4",1678247,"Produce","857.00","13669.15"
"2019","5",1678247,"Produce","926.00","14769.70"
"2019","5",1678247,"Produce","926.00","14769.70"
"2018","11",1748177,"Snacks","191.00","189.09"
"2018","12",1748177,"Snacks","195.00","193.05"
"2018","12",1748177,"Snacks","195.00","193.05"
"2019","1",1748177,"Snacks","203.00","200.97"
"2019","1",1748177,"Snacks","203.00","200.97"
"2019","2",1748177,"Snacks","213.00","210.87"
"2019","2",1748177,"Snacks","213.00","210.87"
"2019","3",1748177,"Snacks","215.00","212.85"
"2019","3",1748177,"Snacks","215.00","212.85"
"2019","4",1748177,"Snacks","221.00","218.79"
"2019","4",1748177,"Snacks","221.00","218.79"
"2019","5",1748177,"Snacks","236.00","233.64"
"2019","5",1748177,"Snacks","236.00","233.64"
"2018","11",1750183,"International","790.00","4542.50"
"2018","12",1750183,"International","822.00","4726.50"
"2018","12",1750183,"International","822.00","4726.50"
"2019","1",1750183,"International","830.00","4772.50"
"2019","1",1750183,"International","830.00","4772.50"
"2019","2",1750183,"International","830.00","4772.50"
"2019","2",1750183,"International","830.00","4772.50"
"2019","3",1750183,"International","838.00","4818.50"
"2019","3",1750183,"International","838.00","4818.50"
"2019","4",1750183,"International","846.00","4864.50"
"2019","4",1750183,"International","846.00","4864.50"
"2019","5",1750183,"International","914.00","5255.50"
"2019","5",1750183,"International","914.00","5255.50"
"2018","11",1759467,"Canned Goods","506.00","500.94"
"2018","12",1759467,"Canned Goods","526.00","520.74"
"2018","12",1759467,"Canned Goods","526.00","520.74"
"2019","1",1759467,"Canned Goods","537.00","531.63"
"2019","1",1759467,"Canned Goods","537.00","531.63"
"2019","2",1759467,"Canned Goods","558.00","552.42"
"2019","2",1759467,"Canned Goods","558.00","552.42"
"2019","3",1759467,"Canned Goods","586.00","580.14"
"2019","3",1759467,"Canned Goods","586.00","580.14"
"2019","4",1759467,"Canned Goods","592.00","586.08"
"2019","4",1759467,"Canned Goods","592.00","586.08"
"2019","5",1759467,"Canned Goods","580.00","574.20"
"2019","5",1759467,"Canned Goods","580.00","574.20"
"2018","11",1782787,"Snacks","537.00","3732.15"
"2018","12",1782787,"Snacks","526.00","3655.70"
"2018","12",1782787,"Snacks","526.00","3655.70"
"2019","1",1782787,"Snacks","552.00","3836.40"
"2019","1",1782787,"Snacks","552.00","3836.40"
"2019","2",1782787,"Snacks","546.00","3794.70"
"2019","2",1782787,"Snacks","546.00","3794.70"
"2019","3",1782787,"Snacks","541.00","3759.95"
"2019","3",1782787,"Snacks","541.00","3759.95"
"2019","4",1782787,"Snacks","563.00","3912.85"
"2019","4",1782787,"Snacks","563.00","3912.85"
